train/explained_variance,train/approx_kl,time/total_timesteps,time/fps,train/value_loss,rollout/ep_len_mean,train/std,train/learning_rate,time/time_elapsed,train/clip_range,train/n_updates,train/clip_fraction,rollout/ep_rew_mean,train/entropy_loss,train/loss,train/policy_gradient_loss,time/iterations,eval/mean_ep_length,eval/mean_reward
0.9847717881202698,0.01759119,20316160,7211,0.011157823167741299,340.52,1.4637378454208374,0.0003,2817,0.2,6190,0.1531494140625,4166.0744228799995,-28.808757495880126,-0.1770283579826355,-0.01970454805996269,620,,
0.9827215075492859,0.017498557,20643840,7213,0.012375380704179406,351.46,1.479657530784607,0.0003,2861,0.2,6290,0.155560302734375,4390.32359488,-28.932583045959472,-0.18011541664600372,-0.02168341100914404,630,,
0.9782117009162903,0.016870512,20971520,7215,0.01429974716156721,340.78,1.4983834028244019,0.0003,2906,0.2,6390,0.149932861328125,4281.72514129,-29.137458038330077,-0.17790521681308746,-0.019927799460128882,640,,
0.9804085493087769,0.01738807,21000000,,0.013555920450016856,,1.4998220205307007,0.0003,,0.2,6400,0.1596435546875,,-29.150191497802734,-0.17929968237876892,-0.02091637929552235,,394.8,5221.2851200342175
0.983788251876831,0.018084588,21299200,7215,0.011510553397238254,335.73,1.5200053453445435,0.0003,2952,0.2,6490,0.1521759033203125,4226.59285645,-29.326478481292725,-0.17942498624324799,-0.019747629330959172,650,,
0.9826537370681763,0.018397799,21626880,7216,0.011589732579886913,355.31,1.5381797552108765,0.0003,2996,0.2,6590,0.1591461181640625,4573.17951915,-29.48230609893799,-0.18087173998355865,-0.02023035492748022,660,,
0.985515832901001,0.018538786,21954560,7218,0.010524572152644397,354.25,1.5574380159378052,0.0003,3041,0.2,6690,0.152239990234375,4440.831956169999,-29.668445682525636,-0.18283723294734955,-0.021066337171941996,670,,
0.9849198460578918,0.02647432,22000000,,0.010986219719052314,,1.5635721683502197,0.0003,,0.2,6710,0.149932861328125,,-29.71132116317749,-0.18115581572055817,-0.019693230919074267,,387.8,5182.983753371239
0.9808062314987183,0.016482454,22282240,7216,0.012847248651087283,356.27,1.5784523487091064,0.0003,3087,0.2,6790,0.145928955078125,4497.149005819999,-29.856802654266357,-0.17913012206554413,-0.018207671982236207,680,,
0.9824699759483337,0.016682032,22609920,7218,0.01242772014811635,351.03,1.5981600284576416,0.0003,3132,0.2,6890,0.1490631103515625,4440.80080519,-30.002383708953857,-0.18143081665039062,-0.019216635444900022,690,,
0.9836524128913879,0.01667092,22937600,7220,0.011564148683100938,342.49,1.6211462020874023,0.0003,3176,0.2,6990,0.157061767578125,4374.873273950001,-30.190928363800047,-0.17905451357364655,-0.017913322313688695,700,,
