train/policy_gradient_loss,time/iterations,train/learning_rate,time/total_timesteps,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/std,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,time/time_elapsed,time/fps,train/value_loss,eval/mean_ep_length,eval/mean_reward
-0.014951659709913656,90,0.0003,2949120,0.9636722207069397,890,0.2,-0.13852714002132416,1.009547233581543,0.0990570068359375,0.011437982,1450.52558474,101.82,-24.13148612976074,379,7762,0.04746844470500946,,
-0.01481977771036327,,0.0003,3000000,0.964654803276062,910,0.2,-0.13779085874557495,1.010241985321045,0.097320556640625,0.011899661,,,-24.13570556640625,,,0.04561486728489399,115.0,1785.1127752065659
-0.014740296546369791,100,0.0003,3276800,0.9664790630340576,990,0.2,-0.1380506008863449,1.0118863582611084,0.0987396240234375,0.01135992,1599.3114886399999,110.57,-24.14299554824829,422,7759,0.04250519573688507,,
-0.01462346467305906,110,0.0003,3604480,0.9647631049156189,1090,0.2,-0.138210266828537,1.017069935798645,0.100848388671875,0.012640594,1564.2576587200006,109.26,-24.212266445159912,463,7771,0.04449528157711029,,
-0.0152468791580759,120,0.0003,3932160,0.9647660255432129,1190,0.2,-0.13807079195976257,1.0227079391479492,0.10452880859375,0.0119671,1592.45361559,110.08,-24.278597354888916,505,7780,0.046280636265873906,,
-0.01599328309530392,,0.0003,4000000,0.9661835432052612,1220,0.2,-0.13994470238685608,1.0237406492233276,0.1075714111328125,0.012756103,,,-24.289139461517333,,,0.04369332771748304,115.6,1860.1460083961488
-0.015964769752463324,130,0.0003,4259840,0.9672273993492126,1290,0.2,-0.14245854318141937,1.0258369445800781,0.1103973388671875,0.012560806,1885.5434460500003,127.3,-24.3122597694397,547,7781,0.043504136614501476,,
-0.015983420086558908,140,0.0003,4587520,0.9658380150794983,1390,0.2,-0.14045435190200806,1.0279529094696045,0.1051300048828125,0.012774916,2031.60298408,136.8,-24.314004707336426,589,7788,0.04608589597046375,,
-0.016182250820565968,150,0.0003,4915200,0.9656450748443604,1490,0.2,-0.1429939568042755,1.0352774858474731,0.1071563720703125,0.013185313,2228.6482668,148.47,-24.40402193069458,630,7793,0.04544310215860605,,
-0.015959709498565643,,0.0003,5000000,0.9626553058624268,1520,0.2,-0.1402621865272522,1.036711573600769,0.101446533203125,0.012636936,,,-24.409145450592042,,,0.05057013444602489,149.8,2400.4995180845262
-0.017335460393223912,160,0.0003,5242880,0.9623621106147766,1590,0.2,-0.14329850673675537,1.0366935729980469,0.126605224609375,0.014097709,2364.6386883600003,156.09,-24.39335823059082,672,7793,0.04811958484351635,,
-0.01764440191327594,170,0.0003,5570560,0.9601984620094299,1690,0.2,-0.1430598497390747,1.043778419494629,0.1201446533203125,0.014070166,2885.7182466200006,188.04,-24.474500274658205,714,7799,0.05024548526853323,,
-0.01825735524762422,180,0.0003,5898240,0.9601925611495972,1790,0.2,-0.1457594931125641,1.0502320528030396,0.1235687255859375,0.015124667,2876.739895949999,187.35,-24.536265277862547,755,7804,0.047486441768705846,,
-0.018659221997950226,,0.0003,6000000,0.9606851935386658,1830,0.2,-0.14634574949741364,1.0515251159667969,0.1228973388671875,0.015224157,,,-24.53987913131714,,,0.04660950805991888,238.6,3837.734323054552
-0.01906929969554767,190,0.0003,6225920,0.9591653943061829,1890,0.2,-0.14589670300483704,1.0566965341567993,0.135400390625,0.015348252,3349.20838553,215.61,-24.590358543395997,798,7800,0.04697741512209177,,
-0.01926851099706255,200,0.0003,6553600,0.9651464223861694,1990,0.2,-0.14882497489452362,1.064588189125061,0.133746337890625,0.016128711,3809.3936999000002,245.11,-24.704871940612794,839,7803,0.03706726673990488,,
-0.01959681399166584,210,0.0003,6881280,0.9605116844177246,2090,0.2,-0.15084153413772583,1.0709763765335083,0.130517578125,0.015073496,4002.3498145899994,254.61,-24.760243511199953,881,7806,0.03962585534900427,,
-0.01896400060504675,,0.0003,7000000,0.9636543989181519,2130,0.2,-0.14936798810958862,1.072572112083435,0.1393524169921875,0.015491607,,,-24.771372890472414,,,0.03668224476277828,243.6,3954.8848311662673
