rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/ent_coef,train/learning_rate,train/critic_loss,train/actor_loss,eval/mean_ep_length,eval/mean_reward
3133.50837182,1887,9010,3050048,1615,426.94,1.8668886423110962,380005,0.001154483761638403,0.0003,0.010778145864605904,-6.463466644287109,,
3654.24030199,1897,9020,3065888,1615,503.27,-4.054834842681885,381985,0.0009260702645406127,0.0003,0.009327231906354427,-6.719531059265137,,
5521.44680205,1927,9030,3115808,1616,867.18,0.617699384689331,388225,0.0006593966390937567,0.0003,0.007061751559376717,-7.077427864074707,,
7175.7096302499995,1948,9040,3150680,1616,1203.29,-4.951291084289551,392584,0.0005387397250160575,0.0003,0.004659980535507202,-6.671196937561035,,
7837.855885169998,1960,9050,3169984,1616,1360.57,-1.5377775430679321,394997,0.0005573977832682431,0.0003,0.005136938765645027,-6.722227096557617,,
9558.44369167,1973,9060,3192112,1617,1682.87,-3.8985390663146973,397763,0.00048195102135650814,0.0003,0.010140103287994862,-6.30214786529541,,
10640.547829289997,1998,9070,3231640,1617,1894.43,-5.932689666748047,402704,0.00042947547626681626,0.0003,0.005707503762096167,-5.7387895584106445,,
11788.698087349998,2016,9080,3261384,1617,2117.16,-5.427423477172852,406422,0.00040525320218876004,0.0003,0.004440771881490946,-5.747073650360107,,
13204.923668169999,2036,9090,3293984,1617,2408.74,-3.347738742828369,410497,0.00037829074426554143,0.0003,0.0030480772256851196,-5.289144039154053,,
14646.673407830001,2058,9100,3329464,1617,2722.34,-3.2314352989196777,414932,0.0003465805493760854,0.0003,0.0024073836393654346,-5.122582912445068,,
15288.69010185,2071,9110,3350776,1617,2862.56,1.4462859630584717,417596,0.0003046538040507585,0.0003,0.003304818645119667,-4.890903949737549,,
15754.452896660001,2083,9120,3370168,1617,2966.3,1.964264988899231,420020,0.00030618911841884255,0.0003,0.0024616632144898176,-4.675946235656738,,
14955.518043789998,2099,9130,3395632,1617,2827.11,2.5206851959228516,423203,0.00028349613421596587,0.0003,0.003528206842020154,-4.52227783203125,,
15132.911767919999,2119,9140,3429000,1617,2846.22,-2.2622737884521484,427374,0.0002442493860144168,0.0003,0.0025948230177164078,-4.414855003356934,,
14552.547200840001,2129,9150,3444424,1617,2720.21,-2.9968574047088623,429302,0.00024566130014136434,0.0003,0.0026275019627064466,-4.1761274337768555,,
13179.644890219997,2130,9160,3447464,1617,2462.92,13.309627532958984,429682,0.0002466519654262811,0.0003,0.0032102451659739017,-4.109896183013916,,
11708.00625869,2132,9170,3449408,1617,2189.89,4.356729030609131,429925,0.0002489767502993345,0.0003,0.0022426547948271036,-4.211206436157227,,
11025.68018235,2134,9180,3453592,1617,2059.56,-4.456473350524902,430448,0.0002445029385853559,0.0003,0.002591717056930065,-4.244318962097168,,
9628.85178654,2137,9190,3457672,1617,1776.2,-4.709685325622559,430958,0.00024000718258321285,0.0003,0.005476498510688543,-4.160539627075195,,
8169.7097386000005,2139,9200,3462032,1617,1468.39,-1.049393892288208,431503,0.00025046736118383706,0.0003,0.003985881339758635,-4.1341352462768555,,
